"date","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15","price"
0,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1955,0,98133,47.7658,-122.339,1480,7940,313000
0,5,2.5,3650,9050,2,0,4,5,10,3370,280,1921,0,98119,47.6345,-122.367,2880,5400,2380000
0,3,2,1930,11947,1,0,0,4,8,1930,0,1966,0,98042,47.3672,-122.151,2200,12825,342000
0,3,2.25,2000,8030,1,0,0,4,8,1000,1000,1963,0,98008,47.6188,-122.114,2070,8250,420000
0,4,2.5,1940,10500,1,0,0,4,7,1140,800,1976,0,98052,47.683,-122.114,2200,10500,550000
0,2,1,880,6380,1,0,0,3,7,880,0,1938,1994,98115,47.6924,-122.322,1340,6380,490000
0,2,2,1350,2560,1,0,0,3,8,1350,0,1976,0,98052,47.6344,-122.107,1790,2560,335000
0,4,2.5,2710,35868,2,0,0,3,9,2710,0,1989,0,98038,47.375,-122.022,2780,36224,482000
0,3,2.5,2430,88426,1,0,0,4,7,1570,860,1985,0,98045,47.4828,-121.718,1560,56827,452500
0,4,2,1520,6200,1.5,0,0,3,7,1520,0,1945,0,98115,47.678,-122.269,1910,6200,640000
0,3,1.75,1710,7320,1,0,0,3,7,1710,0,1948,0,98155,47.7512,-122.281,2260,8839,463000
0,4,2.5,2920,4000,1.5,0,0,5,8,1910,1010,1909,0,98105,47.6578,-122.28,2470,4000,1400000
0,3,1.75,2330,14892,1,0,0,3,8,1970,360,1980,0,98074,47.6267,-122.046,2570,14217,588500
0,3,1,1090,6435,1,0,0,4,7,1090,0,1955,0,98106,47.5334,-122.365,1340,6435,365000
0,5,2.75,2910,9480,1.5,0,0,3,8,2910,0,1939,0,98105,47.6552,-122.278,2940,6600,1200000
0,3,1.5,1200,9720,1,0,0,4,7,1200,0,1965,0,98042,47.4225,-122.153,1380,10284,242500
0,3,1.5,1570,6700,1,0,0,4,7,1570,0,1956,0,98007,47.6022,-122.134,1570,7300,419000
0,4,2.5,2200,9397,2,0,0,3,8,2200,0,1987,0,98001,47.3406,-122.269,2310,9176,285000
0,4,3,3110,7231,2,0,0,3,8,3110,0,1997,0,98092,47.3279,-122.191,2820,7311,367500
0,3,1.75,1370,5858,1,0,0,3,7,1370,0,1987,0,98198,47.3815,-122.313,1400,7500,257950
0,3,1.5,1180,10277,1,0,0,3,6,1180,0,1983,0,98045,47.488,-121.787,1680,11104,275000
0,3,1.75,2240,10578,2,0,0,5,8,1550,690,1923,0,98115,47.6954,-122.292,1570,10578,750000
0,4,1,1450,8800,1,0,0,4,7,1450,0,1954,0,98006,47.5746,-122.135,1260,8942,435000
0,3,2.25,1750,1572,2.5,0,0,3,9,1470,280,2005,0,98102,47.6498,-122.321,2410,3050,626000
0,4,2.5,2730,12261,2,0,0,3,9,2730,0,1991,0,98011,47.7419,-122.205,2730,10872,612500
0,4,1.75,1600,6380,1,0,0,3,8,1130,470,1959,0,98125,47.701,-122.306,1090,6380,495000
0,3,2.5,2090,10834,1,0,0,4,8,1360,730,1987,0,98003,47.3537,-122.303,1750,8595,285000
0,3,1.75,2360,7291,1,0,0,4,8,1360,1000,1948,0,98136,47.5274,-122.384,1860,5499,615000
0,4,2.25,2200,11250,1.5,0,0,5,7,1300,900,1920,0,98033,47.6845,-122.201,2320,10814,698000
0,5,2.5,2820,67518,2,0,0,3,8,2820,0,1979,0,98029,47.5794,-122.025,2820,48351,675000
0,3,2.5,2600,4750,1,0,0,4,9,1700,900,1951,0,98117,47.6833,-122.4,2380,4750,790000
0,4,1.75,1560,8700,1,0,0,4,7,1560,0,1967,0,98034,47.7274,-122.181,2080,8000,382500
0,4,2.5,2860,3345,2,0,0,3,8,2190,670,2004,0,98072,47.7735,-122.158,2860,3596,499950
0,4,2,1820,5000,1.5,0,1,3,7,1640,180,1945,0,98115,47.6815,-122.269,2060,5000,650000
0,4,2.25,2160,8119,1,0,0,3,8,1080,1080,1966,0,98006,47.5443,-122.177,1850,9000,440000
0,4,2.5,2820,8408,2,0,0,3,9,2820,0,2014,0,98155,47.7538,-122.325,1300,8408,625000
0,4,2.5,3630,42884,1.5,0,0,3,9,2300,1330,1979,0,98092,47.2617,-122.19,2830,80148,400000
0,3,2.5,3240,33151,2,0,2,3,10,3240,0,1995,0,98023,47.3256,-122.378,4050,24967,604000
0,2,1,800,4850,1,0,0,4,7,800,0,1944,0,98107,47.6639,-122.364,1150,4365,440000
0,3,3,1850,19966,1,0,0,4,7,1090,760,1992,0,98038,47.3493,-122.034,1410,6715,287200
0,3,2,1960,13100,1,0,2,5,8,1650,310,1957,0,98166,47.4419,-122.34,1960,10518,403000
0,3,2.5,2390,6550,1,0,2,4,8,1440,950,1955,0,98116,47.5714,-122.408,2010,6550,750000
0,3,2.25,1580,16215,1,0,0,4,7,1580,0,1978,0,98024,47.5643,-121.897,1450,16215,335000
0,4,2,1480,8625,1,0,0,4,7,1480,0,1974,0,98055,47.462,-122.193,2130,8502,260000
0,2,1,850,6174,1,0,0,4,7,850,0,1950,0,98155,47.7352,-122.328,1100,6174,308500
0,3,2.5,1770,2875,2,0,0,3,8,1770,0,1990,0,98116,47.5631,-122.397,1770,3833,439950
0,2,1,1210,9400,1,0,0,2,6,1210,0,1949,0,98106,47.5342,-122.36,1580,6026,235000
0,3,1,1160,9180,1,0,0,3,7,1160,0,1968,0,98077,47.7427,-122.072,1160,10282,315000
0,3,2.25,1970,35100,2,0,0,4,9,1970,0,1977,0,98027,47.4635,-121.991,2340,35100,437500
0,3,2.5,1930,10460,2,0,0,3,8,1930,0,1996,0,98059,47.4938,-122.161,2290,8228,407500
0,3,2.5,1270,1180,3,0,0,3,8,1270,0,2001,0,98107,47.6697,-122.392,1320,1180,445700
0,4,2.5,3310,42998,2,0,0,3,9,3310,0,2001,0,98052,47.7232,-122.131,3350,42847,838000
0,4,2.75,2710,37277,2,0,0,3,9,2710,0,2000,0,98027,47.4634,-121.987,2390,39299,630000
0,3,1.75,2910,35200,1.5,0,0,3,8,2910,0,1979,0,98075,47.5747,-122.035,2590,37500,550000
0,3,2,2710,4500,1.5,0,0,4,8,1880,830,1929,0,98115,47.6747,-122.295,2060,4500,805000
0,3,1.75,1800,23103,1,0,0,3,7,1800,0,1968,0,98014,47.6517,-121.906,1410,18163,284000
0,5,2.5,2210,9655,1,0,0,3,8,1460,750,1976,0,98011,47.7698,-122.222,2080,8633,470000
0,4,1.5,1920,10000,1,0,0,4,7,1070,850,1954,0,98006,47.5725,-122.133,1450,10836,430000
0,4,1.75,2190,125452,1,0,2,3,9,2190,0,1968,0,98092,47.2703,-122.069,3000,125017,491500
0,5,3.25,3660,11995,2,0,2,3,10,3660,0,2006,0,98065,47.5337,-121.86,3320,11241,785000
0,3,2.5,1770,1235,3,0,0,3,8,1600,170,2007,0,98103,47.6965,-122.342,1680,1203,436110
0,3,3.25,1320,1327,2,0,0,3,8,1040,280,2008,0,98199,47.6506,-122.383,1440,1263,385000
0,2,2.5,1630,1368,2,0,0,3,7,1280,350,2009,0,98106,47.5489,-122.363,1590,2306,295000
0,4,2.5,3310,6500,2,0,0,3,8,3310,0,2012,0,98065,47.515,-121.87,2380,5000,555000
0,3,2.5,2680,5539,2,0,0,3,8,2680,0,2013,0,98045,47.4761,-121.734,2990,6037,459990
0,4,3.25,2730,54014,1,0,0,3,9,1560,1170,2007,0,98059,47.5133,-122.11,2730,111274,625000
0,3,2.5,2540,5050,2,0,0,3,7,2540,0,2006,0,98042,47.3358,-122.055,2280,5050,300000
1,4,2.75,2920,6605,2,0,0,3,8,2920,0,2012,0,98059,47.4909,-122.144,3030,6605,625000
1,2,1,900,5000,1,0,0,3,7,900,0,1944,0,98117,47.6883,-122.395,1280,5000,553000
1,3,2.5,1650,14054,1,0,0,4,7,1130,520,1986,0,98027,47.4821,-122.017,1940,87555,379880
1,3,1,1010,9945,1,0,0,4,6,1010,0,1973,0,98065,47.5324,-121.763,1390,12710,310000
2,2,2.5,2680,7392,1,0,0,3,9,2680,0,2004,0,98053,47.717,-122.026,2315,7045,775000
2,3,2.5,2200,7350,1,0,0,5,8,1570,630,1988,0,98058,47.4395,-122.161,2350,7557,365000
2,4,2.5,2530,9933,2,0,2,3,8,2010,520,1990,0,98092,47.2654,-122.216,2140,9933,331950
2,3,2.5,2850,7130,2,0,0,3,10,1990,860,1980,0,98122,47.603,-122.289,2280,6459,783500
2,4,2,2280,6010,1,0,0,3,7,1140,1140,1900,0,98122,47.6034,-122.289,2240,6200,628000
3,3,2.5,1900,8744,2,0,0,3,8,1900,0,1987,0,98074,47.62,-122.043,2030,8744,560000
3,3,1,1330,77972,1,0,0,3,7,1330,0,1928,1954,98033,47.6891,-122.159,1340,17689,900000
3,2,3,1270,1175,2,0,0,3,8,1110,160,2000,0,98103,47.6634,-122.34,1290,1800,531000
3,4,3,2170,4000,2,0,0,4,9,1610,560,1982,2011,98112,47.6196,-122.292,1670,4000,831000
3,4,2.5,2730,10281,2,0,2,3,9,2730,0,1996,0,98074,47.6227,-122.029,2750,7220,780000
3,4,1.5,1120,5427,1,0,0,3,6,1120,0,1969,2014,98042,47.3628,-122.087,1150,5304,219900
3,3,1,1340,306848,1,0,0,3,5,1340,0,1953,0,98019,47.7534,-121.912,1800,128066,210000
3,4,2.5,2120,10202,1,0,0,4,7,1620,500,1960,0,98005,47.5858,-122.17,1570,10762,755000
3,3,2.5,2490,4343,2,0,0,3,9,2490,0,2003,0,98029,47.5493,-121.993,2130,4106,705380
3,4,2.25,1990,7712,1,0,0,3,8,1210,780,1973,0,98027,47.5688,-122.087,1720,7393,627000
3,4,3,3690,9892,2,0,0,3,10,3690,0,1998,0,98075,47.5937,-121.982,3430,11294,865000
3,2,1,2540,7000,1,0,0,5,8,1320,1220,1942,0,98118,47.5259,-122.261,2160,6000,580000
3,3,2.25,1800,36704,1,0,0,4,8,1360,440,1978,0,98027,47.4688,-122.013,2730,36404,410000
3,4,3,2340,7048,1,0,0,4,8,1340,1000,1979,0,98034,47.7306,-122.227,1440,8088,485000
3,2,1.75,2110,9519,1,0,0,2,7,2110,0,1948,0,98155,47.7504,-122.306,1480,9519,400000
3,2,1,1140,5400,1,0,0,5,7,1140,0,1908,0,98112,47.6205,-122.294,1520,4800,549000
3,3,1.75,1480,2185,2.5,0,0,3,9,1480,0,2005,0,98034,47.6945,-122.17,1480,2441,620000
3,2,3,1410,1240,2,0,0,3,8,1140,270,2006,0,98136,47.5221,-122.39,1410,1273,405000
3,2,1,1200,8063,1,0,0,4,6,1200,0,1958,0,98198,47.4204,-122.324,1200,7500,232000
3,5,2.5,3180,13806,2,0,0,4,10,3180,0,1990,0,98033,47.652,-122.182,3180,13798,800866
3,3,1.5,2160,9000,1,0,2,4,8,1400,760,1949,0,98177,47.7241,-122.369,3010,9000,650000
3,6,1.75,2920,5000,2.5,0,0,4,9,2780,140,1908,0,98122,47.6024,-122.295,2020,5000,823000
3,3,2,2350,5700,1.5,0,0,4,8,1810,540,1939,0,98112,47.639,-122.31,2170,6000,770000
3,3,1.75,1560,5520,1,0,0,4,6,780,780,1944,0,98199,47.6515,-122.399,1470,6000,524000
3,5,2.75,2740,8426,1,0,0,4,8,1370,1370,1960,0,98006,47.5563,-122.184,2020,8783,541125
3,3,2.5,1680,2000,3,0,0,3,9,1680,0,1909,1998,98105,47.6604,-122.29,1950,5000,670000
3,5,2.5,3090,12750,1,0,0,3,8,1750,1340,1968,0,98023,47.3408,-122.335,1760,25919,384900
3,3,2.25,1410,1332,3,0,0,3,8,1410,0,2005,0,98103,47.6916,-122.34,1430,1448,406100
3,5,3.5,4010,8510,2,0,1,5,9,2850,1160,1971,0,98105,47.6578,-122.286,2610,6128,1400000
3,4,2.5,3180,21904,2,0,3,3,9,3180,0,2000,0,98059,47.515,-122.117,3715,29170,736500
